lncrna1,lncrna2
1003,362
1003,39
1003,1059
1003,1470
1003,1242
1003,254
1003,820
1003,83
1003,220
1003,1259
1003,1206
1003,0
1003,959
1003,588
1003,1321
1003,598
1003,146
1003,288
1003,937
1003,532
1003,1196
1003,200
1003,581
1003,1253
1003,150
1003,917
1003,559
362,39
362,1059
362,1470
362,1242
362,254
362,820
362,83
362,220
362,1259
362,1206
362,0
362,959
362,588
362,1321
362,598
362,146
362,288
362,937
362,532
362,1196
362,200
362,581
362,1253
362,150
362,917
362,559
362,875
39,1059
39,1470
39,1242
39,254
39,820
39,83
39,220
39,1259
39,1206
39,0
39,959
39,588
39,1321
39,598
39,146
39,288
39,937
39,532
39,1196
39,200
39,581
39,1253
39,150
39,917
39,559
1059,1470
1059,1242
1059,254
1059,83
1059,220
1059,1259
1059,1206
1059,0
1059,959
1059,588
1059,1321
1059,598
1059,146
1059,288
1059,937
1059,532
1059,1196
1059,200
1059,581
1059,1253
1059,150
1059,917
1059,559
1470,1242
1470,254
1470,820
1470,83
1470,786
1470,220
1470,788
1470,1259
1470,1206
1470,959
1470,1427
1470,1321
1470,606
1470,146
1470,288
1470,1015
1470,882
1470,937
1470,532
1470,1196
1470,53
1470,787
1470,921
1470,54
1470,121
1470,1050
1470,614
1470,561
1470,1495
1470,581
1470,1109
1470,773
1470,425
1470,603
1470,850
1470,494
1470,59
1470,1215
1470,150
1470,917
1470,1140
1470,185
1470,522
1470,476
1470,1142
1470,1101
1470,916
1470,755
1470,740
1470,444
1470,1393
1470,66
1470,1128
1470,322
1470,559
1470,445
1470,789
1470,1048
1470,710
1470,52
1470,30
1470,1300
1470,497
1470,967
1470,287
1470,55
1470,242
1470,1245
1470,915
1470,31
1470,785
1470,149
1470,1184
1470,1225
1470,1488
1470,1338
1470,589
1470,1166
1470,347
1242,254
1242,83
1242,220
1242,1259
1242,1206
1242,0
1242,959
1242,588
1242,1321
1242,598
1242,146
1242,288
1242,937
1242,532
1242,1196
1242,200
1242,581
1242,1253
1242,150
1242,917
1242,559
254,220
254,1259
254,1206
254,0
254,959
254,588
254,1321
254,598
254,146
254,937
254,532
254,1196
254,200
254,581
254,1253
254,559
820,83
820,786
820,220
820,788
820,1259
820,1206
820,959
820,1427
820,606
820,146
820,288
820,1015
820,882
820,532
820,53
820,787
820,921
820,54
820,121
820,1050
820,561
820,1495
820,1109
820,773
820,850
820,494
820,59
820,188
820,917
820,1140
820,1142
820,1101
820,916
820,755
820,1393
820,66
820,1128
820,138
820,322
820,445
820,789
820,1048
820,1475
820,52
820,30
820,1300
820,497
820,287
820,55
820,242
820,31
820,764
820,149
820,1184
820,1225
820,589
820,1166
820,615
820,996
820,98
83,786
83,1259
83,1206
83,959
83,588
83,917
786,788
786,1259
786,1206
786,959
786,1427
786,606
786,146
786,288
786,1015
786,882
786,532
786,53
786,787
786,921
786,54
786,121
786,1050
786,614
786,561
786,1495
786,1109
786,773
786,425
786,603
786,850
786,494
786,59
786,1215
786,188
786,917
786,796
786,1140
786,185
786,522
786,476
786,1142
786,1101
786,916
786,755
786,740
786,444
786,1393
786,66
786,1128
786,138
786,322
786,445
786,789
786,1048
786,1475
786,52
786,30
786,1300
786,497
786,681
786,967
786,287
786,1375
786,55
786,1037
786,1363
786,242
786,1245
786,915
786,31
786,785
786,149
786,568
786,1217
786,1184
786,1225
786,219
786,518
786,1073
786,427
786,1387
786,1338
786,282
786,589
786,1325
786,1166
786,615
786,4
786,1022
786,765
786,996
786,1383
786,1263
786,884
786,347
786,964
786,189
786,461
786,484
786,319
786,1230
