mrna,lncrna
395,1003
395,362
395,39
395,1059
395,1470
395,1242
395,254
395,820
395,83
395,220
395,1259
395,1206
395,0
395,959
395,588
395,1321
395,598
395,146
395,288
395,937
395,532
395,1196
395,200
395,581
395,1253
395,150
395,917
395,559
1585,1003
1585,362
1585,39
1585,1059
1585,1470
1585,1242
1585,254
1585,820
1585,83
1585,220
1585,1259
1585,1206
1585,0
1585,959
1585,588
1585,1321
1585,598
1585,146
1585,288
1585,937
1585,532
1585,1196
1585,200
1585,581
1585,1253
1585,150
1585,917
1585,559
1350,1003
1350,362
1350,39
1350,1059
1350,1470
1350,1242
1350,254
1350,820
1350,83
1350,220
1350,1259
1350,1206
1350,0
1350,959
1350,588
1350,1321
1350,598
1350,146
1350,288
1350,937
1350,532
1350,1196
1350,200
1350,581
1350,1253
1350,150
1350,917
1350,559
2146,1003
2146,362
2146,39
2146,1059
2146,1470
2146,1242
2146,254
2146,820
2146,83
2146,786
2146,220
2146,788
2146,1259
2146,1206
2146,0
2146,959
2146,588
2146,1321
2146,598
2146,606
2146,146
2146,288
2146,937
2146,532
2146,1196
2146,200
2146,581
2146,1253
2146,850
2146,150
2146,917
2146,559
2146,875
2146,710
790,1003
790,362
790,39
790,1059
790,1470
790,1242
790,254
790,820
790,83
790,220
790,1259
790,1206
790,0
790,959
790,588
790,1321
790,598
790,146
790,288
790,937
790,532
790,1196
790,200
790,581
790,1253
790,150
790,917
790,559
1622,1003
1622,362
1622,39
1622,1059
1622,1470
1622,1242
1622,254
1622,83
1622,220
1622,1259
1622,1206
1622,0
1622,959
1622,588
1622,1321
1622,598
1622,146
1622,288
1622,937
1622,532
1622,1196
1622,200
1622,581
1622,1253
1622,150
1622,917
1622,559
2177,1003
2177,362
2177,39
2177,1059
2177,1470
2177,1242
2177,254
2177,220
2177,1259
2177,1206
2177,0
2177,959
2177,588
2177,1321
2177,598
2177,146
2177,288
2177,937
2177,532
2177,1196
2177,200
2177,581
2177,1253
2177,917
2177,559
2177,875
1555,1003
1555,362
1555,39
1555,1059
1555,1470
1555,1242
1555,254
1555,220
1555,1259
1555,1206
1555,0
1555,959
1555,588
1555,1321
1555,598
1555,146
1555,288
1555,937
1555,532
1555,1196
1555,200
1555,581
1555,1253
1555,150
1555,917
1555,559
1054,1003
1054,362
1054,39
1054,1059
1054,1242
1054,254
1054,220
1054,1259
1054,1206
1054,588
1054,1321
1054,937
1379,1003
1379,362
1379,39
1379,1059
1379,1470
1379,1242
1379,254
1379,220
1379,1259
1379,1206
1379,959
1379,588
1379,1321
1379,146
1379,937
1465,1470
1465,820
1465,83
1465,786
1465,788
1465,1259
1465,1206
1465,959
1465,1427
1465,606
1465,146
1465,288
1465,1015
1465,882
1465,532
1465,53
1465,787
1465,921
1465,54
1465,121
1465,1050
1465,614
1465,561
1465,1495
1465,1109
1465,773
1465,603
1465,850
1465,494
1465,59
1465,1215
1465,188
1465,917
1465,796
1465,1140
1465,185
1465,522
1465,476
1465,1142
1465,1101
1465,916
1465,755
1465,740
1465,444
1465,1393
1465,66
1465,1128
1465,138
1465,322
1465,445
1465,789
1465,1048
1465,1475
1465,52
1465,30
1465,1300
1465,497
1465,967
1465,287
1465,1375
1465,55
1465,1037
1465,1363
1465,242
1465,1245
1465,915
1465,31
1465,785
1465,764
1465,149
1465,1184
1465,1225
1465,219
1465,518
1465,1073
1465,427
1465,1387
1465,1488
1465,1338
1465,282
1465,589
1465,1166
1465,615
1465,1022
1465,765
1465,996
1465,1383
1465,1263
1465,884
1465,347
1465,964
1465,189
1465,461
1465,484
1465,854
1465,65
1465,144
1465,932
1465,1364
1465,1295
1465,1149
1465,1411
1465,760
1465,292
810,1003
810,362
810,39
810,1059
810,1470
810,1242
810,254
810,820
810,83
810,786
810,220
810,788
810,1259
810,1206
810,959
810,1427
810,588
810,1321
810,606
810,146
810,288
810,1015
810,882
810,937
810,532
810,1196
810,53
810,787
810,921
810,54
810,121
810,1050
810,200
810,614
810,561
810,1495
810,581
810,1109
810,773
810,425
810,603
810,850
810,494
810,59
810,1215
810,150
810,917
810,1140
810,522
810,476
810,1142
810,1101
810,916
810,755
810,740
810,444
810,1393
810,66
810,194
810,1128
810,138
810,322
810,559
810,445
810,789
810,1048
810,710
810,52
810,30
810,1300
810,497
810,681
810,967
810,287
810,55
810,398
810,242
810,1245
810,915
810,785
810,149
810,1217
810,1184
810,1225
810,219
810,1073
810,1338
810,282
810,589
810,884
810,347
810,189
810,484
809,1003
809,362
809,39
809,1059
809,1470
809,1242
809,820
809,83
809,786
809,220
809,788
809,1259
809,1206
809,959
809,1427
809,606
809,146
809,288
809,1015
809,882
809,937
809,532
809,53
809,787
809,921
