mirna,lncrna
65,1452
3,1442
72,1452
113,1452
140,1452
16,1442
149,452
126,1452
155,1452
154,1442
144,240
132,241
135,1442
156,1442
8,1452
6,1452
53,1452
26,1452
142,1452
130,1452
28,490
30,638
30,441
29,490
141,452
141,493
141,638
48,627
48,1471
48,606
48,222
120,441
28,1483
32,1483
32,973
32,1031
30,1454
119,1483
65,429
65,515
66,429
66,1483
66,952
39,301
39,1483
39,1036
3,1483
101,388
101,80
101,1134
101,515
101,403
101,1483
101,491
101,1487
97,653
11,1483
91,1483
91,24
72,433
72,615
72,34
86,1483
2,429
2,1483
2,952
58,121
58,1459
58,429
58,24
58,952
58,1483
58,1487
59,121
59,1459
59,429
59,24
59,952
59,1483
59,1487
45,388
45,80
45,1134
45,515
45,403
45,1483
45,491
45,1487
76,1483
76,515
74,388
74,1487
29,1483
126,1483
50,1483
81,1483
81,24
15,1495
15,1483
15,735
42,1486
42,1483
42,615
105,433
105,429
105,952
105,1483
105,232
141,272
141,1483
22,433
22,429
22,952
22,1483
22,232
37,1483
34,735
34,515
36,1483
49,1483
49,403
43,388
43,80
43,1134
43,515
43,403
43,1483
43,491
43,1487
96,1483
82,1483
82,24
64,515
69,1483
55,1483
156,1483
156,1487
120,232
120,1483
120,615
120,24
54,1483
54,615
18,1483
52,1483
8,433
8,967
8,1483
56,1483
78,1483
78,1452
78,332
26,1483
67,491
101,409
91,83
45,409
50,1442
81,83
15,1452
125,220
34,98
43,409
82,822
64,1452
69,389
18,801
52,389
95,1442
28,1452
65,656
12,429
73,1442
45,1471
157,1452
74,493
34,241
82,625
82,422
82,402
82,616
82,490
52,1452
8,429
62,1452
67,1483
