mirna,mrna
104,740
104,1384
28,1000
28,109
28,1199
28,1516
28,2472
28,1198
28,1360
28,1762
28,1640
28,1663
28,1626
28,1967
28,289
28,1327
28,2502
28,1079
28,196
28,66
28,2084
28,205
28,1501
28,1389
28,2186
28,2283
28,2206
28,836
28,887
28,733
28,1432
28,1958
28,167
28,170
28,1586
28,1090
28,1671
28,2244
28,183
28,486
28,1176
28,32
28,1106
28,1672
28,625
28,1664
28,2117
28,1990
28,1731
28,312
28,856
27,396
27,678
27,116
27,1993
27,2063
27,1739
27,2376
27,207
27,1964
27,1053
27,2034
27,1091
27,410
27,259
27,119
27,176
27,2203
27,2193
27,572
33,974
33,1996
33,1992
33,813
33,894
33,2202
33,985
33,2441
33,42
33,1759
33,1886
33,2280
33,1577
33,2207
33,1627
33,2277
33,1962
33,30
33,1686
33,1664
33,187
33,2001
33,1427
32,8
32,1121
32,777
32,437
32,1222
32,1327
32,2174
32,2046
32,1193
32,1477
32,196
32,66
32,546
32,362
32,387
32,415
32,1431
32,1735
32,183
32,1629
32,16
32,2193
32,1259
32,1661
32,731
32,700
32,1242
32,1519
32,918
32,2106
32,1107
32,1568
32,1666
32,1295
32,2492
32,2033
32,2512
32,46
32,1233
32,1501
32,1759
32,605
32,1872
32,1356
32,545
32,80
32,442
32,788
32,2125
32,1077
32,2079
32,1409
32,1996
32,902
32,1360
32,1010
32,1762
32,754
32,957
32,1116
32,138
32,1069
32,1384
32,837
32,1586
32,1544
32,2515
32,2345
32,724
32,1579
32,303
32,612
32,792
32,2416
32,1516
32,1198
32,1530
32,1217
32,2300
32,1133
32,1934
32,1210
32,1728
32,2110
32,865
32,2290
32,1686
32,2443
32,2459
32,1963
32,2064
30,234
30,2322
30,484
30,2079
30,2222
30,1107
30,1024
30,1157
30,1068
30,1197
30,2513
30,437
30,229
30,2504
30,1885
30,196
30,371
30,407
30,1783
30,732
30,1677
30,1067
30,2134
30,1711
30,2193
30,438
30,1641
30,555
30,2214
119,1706
119,439
119,1245
119,533
119,49
119,1568
119,2498
119,2109
119,1491
119,2271
119,437
119,195
119,922
119,440
119,781
119,2496
119,376
119,196
119,2333
119,2350
119,2133
119,2025
119,2201
119,151
119,91
119,865
119,118
119,1391
119,2445
119,1338
119,105
119,102
119,524
119,982
119,1540
119,792
31,1833
31,1267
31,1327
31,1193
31,2206
31,573
31,2042
31,1783
31,1214
31,2319
31,2499
31,1013
31,2244
31,395
31,982
31,1641
31,731
31,311
31,523
31,1714
31,1780
31,1197
31,364
31,1329
31,2033
31,925
31,494
31,914
31,1345
31,1991
31,1472
31,2277
31,1218
31,161
31,214
31,2226
31,2417
31,2298
31,355
31,1146
31,513
31,2079
31,1996
31,899
31,1549
31,2236
31,2049
31,1360
31,1010
31,406
31,1584
31,1659
31,1312
31,888
31,1249
31,2084
31,2257
31,2351
31,1384
31,128
31,724
31,6
31,315
31,1520
31,2513
31,1776
31,2186
31,696
31,1125
31,1126
31,887
31,32
31,472
31,2443
31,2312
31,1567
31,2064
31,1406
31,1427
65,1250
65,543
65,600
65,1465
65,2079
65,204
65,1996
65,1660
65,1516
65,786
65,1005
65,1795
65,437
65,1363
65,964
65,834
65,1776
65,1484
65,1222
65,1967
65,2441
65,1658
65,1162
65,352
65,1659
65,951
65,196
65,2088
65,2283
65,300
65,1203
65,1186
65,2377
65,531
65,2083
65,27
65,2392
65,1461
65,91
65,865
65,983
65,1431
65,1444
65,1544
65,824
65,2334
65,871
65,2354
65,1541
65,2363
65,217
65,528
65,1657
65,1686
65,637
65,1356
65,2417
65,1928
65,122
65,322
65,555
65,1406
12,891
12,1285
12,1679
12,1833
12,1705
12,1024
12,1428
12,437
12,2505
12,476
12,1885
12,361
12,2405
12,497
12,1378
12,1193
12,2496
12,1477
12,546
12,2206
12,1214
12,2080
12,1588
12,2319
12,2081
12,2244
12,2410
12,1541
12,1879
12,1153
12,1109
12,982
12,2440
12,968
12,1242
12,1519
12,273
12,988
12,109
12,748
12,55
12,229
12,1363
12,1640
12,2492
12,1079
12,295
12,1233
12,1501
12,925
12,626
12,402
12,91
12,2277
12,1819
12,159
12,1159
12,752
12,1936
12,355
12,3
12,208
12,495
12,1370
12,1465
12,1996
12,409
12,1762
12,236
12,754
12,2076
12,2490
12,2175
12,1869
12,2133
12,679
12,837
12,1526
12,2204
12,217
12,1720
12,4
12,1692
12,724
12,1816
12,2323
12,710
12,784
12,938
12,792
12,2315
12,1690
12,31
12,1866
12,1374
12,1248
12,822
12,638
12,1569
12,2415
12,317
12,659
12,2300
12,1663
12,310
12,1799
12,1695
12,2435
12,2333
12,1934
12,696
12,1736
12,1443
12,162
12,1203
12,1432
12,912
12,732
12,2491
12,865
12,1209
12,70
12,348
12,1928
12,835
12,2312
12,2167
12,2031
12,23
114,2480
114,1557
114,1425
114,811
114,1996
114,2030
114,775
114,115
114,1085
114,856
114,923
114,1533
114,1669
114,851
114,104
114,601
114,1658
114,2364
114,478
114,431
114,1152
114,196
114,42
114,1408
114,650
114,1384
114,2324
114,2375
114,1538
114,2483
114,1779
114,824
114,2181
114,1205
114,2134
114,370
114,1972
114,1137
114,723
114,2254
114,982
114,1160
114,463
114,2153
114,1427
24,613
24,1654
24,443
24,1268
24,2179
24,731
24,120
24,1959
24,2097
24,300
24,519
24,1783
24,121
24,2420
24,2207
24,163
24,391
24,180
24,1165
24,1007
24,1838
24,2134
24,718
24,2060
24,2117
24,3
66,2096
66,1219
66,2109
66,2024
66,1491
66,2053
66,13
66,609
66,1837
66,1477
66,2335
66,841
66,2041
66,1878
66,528
66,1413
66,1803
66,2135
66,555
66,2214
66,1255
66,109
66,2023
66,1568
66,1665
66,1329
66,964
66,1233
66,1177
66,494
66,2387
66,1299
66,1740
66,91
66,2028
66,1297
66,1927
66,501
66,1101
66,2417
66,1450
66,463
66,1536
66,495
66,1370
66,600
66,1409
66,1996
66,774
66,1068
66,409
66,470
66,1762
66,1669
66,1659
66,2095
66,1914
66,1124
66,1453
66,1813
66,2204
66,2134
66,1844
66,724
66,1845
66,67
66,2367
66,1847
66,1520
66,1213
66,1198
66,1776
66,2429
66,1203
66,2377
66,385
66,1788
66,531
66,1823
66,732
66,472
66,1822
66,2281
66,1567
66,856
39,1121
39,2220
39,2275
39,1184
39,1704
39,1375
39,1215
39,756
39,196
39,362
39,387
39,1180
39,2499
39,1494
39,2038
39,977
39,624
39,2325
39,1449
39,528
39,812
39,555
39,193
39,2145
39,1414
39,2318
39,1780
39,2019
39,229
39,781
39,478
39,1335
39,809
39,402
39,872
39,1935
39,2487
39,1779
39,1642
39,845
39,2203
39,956
39,1800
39,463
39,657
39,1706
39,2079
39,1996
39,1811
39,1517
39,1638
39,392
39,2076
39,2095
39,2180
39,537
39,1817
39,2133
39,2025
39,1124
39,60
39,975
39,2124
39,1185
39,1720
39,1021
39,1540
39,2195
39,986
39,734
39,2005
39,1213
39,1516
39,1683
39,622
39,1658
39,1486
39,1947
39,2423
39,1203
39,385
39,27
39,732
39,176
39,1225
39,499
39,1821
39,1686
39,89
39,1880
39,2153
39,319
